Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2023-02-08,2023,February,8,111.9,110.29,113.33,111.81,111.7,13185802
2023-02-09,2023,February,9,111.69,109.81,118.18,113.995,110.36,37402703
2023-02-10,2023,February,10,110.36,107.21,110.36,108.785,108.05,11993314
2023-02-11,2023,February,11,108.07,108.05,108.07,108.06,108.06,813089
2023-02-13,2023,February,13,108.1,106.55,108.29,107.42,107.61,8444967
2023-02-14,2023,February,14,107.61,105.82,108.44,107.13,107.62,9369451
2023-02-15,2023,February,15,107.62,106.7,109.27,107.985,109.22,7080342
2023-02-16,2023,February,16,109.24,105.76,109.24,107.5,105.77,6387830
2023-02-17,2023,February,17,105.77,103.88,105.83,104.85499999999999,105.25,8136811
2023-02-18,2023,February,18,105.23,105.13,105.23,105.18,105.22,1566025
2023-02-21,2023,February,21,103.55,101.83,103.73,102.78,102.07,7030030
2023-02-22,2023,February,22,102.09,101.09,102.56,101.825,101.68,7957615
2023-02-23,2023,February,23,101.7,99.61,102.05,100.83,101.7,8476928
2023-02-24,2023,February,24,101.7,98.96,101.74,100.35,100.3,7336561
2023-02-25,2023,February,25,100.29,100.25,100.31,100.28,100.3,779954
2023-02-27,2023,February,27,100.73,100.06,101.47,100.765,100.46,4021744
2023-02-28,2023,February,28,100.45,99.57,100.75,100.16,99.8,4926639
2023-03-01,2023,March,1,99.8,98.1,99.86,98.97999999999999,98.52,7314107
2023-03-02,2023,March,2,98.53,97.42,99.29,98.355,98.85,5587137
2023-03-03,2023,March,3,98.86,98.84,101.18,100.01,101.13,6400055
2023-03-04,2023,March,4,101.11,101.1,101.18,101.14,101.14,1304873
2023-03-06,2023,March,6,101.61,100.49,102.7,101.595,100.65,4296865
2023-03-07,2023,March,7,100.69,98.89,100.94,99.91499999999999,99.08,5054155
2023-03-08,2023,March,8,99.09,98.3,99.62,98.96000000000001,99.3,4221783
2023-03-09,2023,March,9,99.31,95.92,100.05,97.985,96.24,5796567
2023-03-10,2023,March,10,96.18,92.83,96.25,94.53999999999999,93.58,11308697
2023-03-11,2023,March,11,93.61,93.57,93.61,93.59,93.57,1928781
2023-03-13,2023,March,13,91.89,90.46,94.02,92.24,92.6,8485960
2023-03-14,2023,March,14,94.0,92.34,94.3,93.32,93.36,10029334
2023-03-15,2023,March,15,91.63,91.41,93.36,92.38499999999999,93.1,7737277
2023-03-16,2023,March,16,92.67,91.89,94.56,93.225,94.29,7354696
2023-03-17,2023,March,17,94.05,92.91,94.27,93.59,93.2,12826654
2023-03-20,2023,March,20,93.43,93.0,94.92,93.96000000000001,94.22,5766036
2023-03-21,2023,March,21,95.17,95.17,96.85,96.00999999999999,96.54,6443345
2023-03-22,2023,March,22,97.45,94.82,97.93,96.375,94.9,6362844
2023-03-23,2023,March,23,95.28,94.76,97.02,95.89,95.83,8229552
2023-03-24,2023,March,24,94.81,93.02,95.0,94.00999999999999,94.08,8311478
2023-03-27,2023,March,27,94.78,94.38,96.02,95.19999999999999,95.62,5426113
2023-03-28,2023,March,28,95.51,94.59,96.0,95.295,94.82,4422673
2023-03-29,2023,March,29,96.08,95.35,96.91,96.13,96.87,5235593
2023-03-30,2023,March,30,98.73,97.67,98.92,98.295,98.1,5976474
2023-03-31,2023,March,31,98.89,98.5,100.2,99.35,100.13,6652183
2023-04-03,2023,April,3,100.21,99.27,100.43,99.85,99.76,5609624
2023-04-04,2023,April,4,100.3,98.76,100.42,99.59,99.57,5317561
2023-04-05,2023,April,5,99.7,98.63,100.18,99.405,99.91,6074697
2023-04-06,2023,April,6,99.44,98.55,100.32,99.435,99.97,5492088
2023-04-10,2023,April,10,99.3,98.9,100.81,99.855,100.81,5925877
2023-04-11,2023,April,11,101.16,100.29,101.91,101.1,100.42,5777638
2023-04-12,2023,April,12,101.25,97.7,102.22,99.96000000000001,97.94,6885172
2023-04-13,2023,April,13,98.51,98.51,101.07,99.78999999999999,100.84,6706841
2023-04-14,2023,April,14,100.5,98.93,100.86,99.89500000000001,99.9,6478749
2023-04-17,2023,April,17,99.57,99.15,100.57,99.86,100.3,5048622
2023-04-18,2023,April,18,100.61,99.6,101.15,100.375,100.93,6246391
2023-04-19,2023,April,19,99.78,98.36,99.83,99.095,98.75,9765137
2023-04-20,2023,April,20,97.75,97.39,98.58,97.985,98.07,6029358
2023-04-21,2023,April,21,98.16,97.72,99.72,98.72,99.57,7600646
2023-04-24,2023,April,24,100.15,98.67,100.74,99.705,99.68,7423440
2023-04-25,2023,April,25,99.38,98.01,99.71,98.86,98.01,5070515
2023-04-26,2023,April,26,97.84,96.46,98.48,97.47,96.61,6406885
2023-04-27,2023,April,27,97.13,96.71,100.07,98.38999999999999,99.93,7179630
2023-04-28,2023,April,28,99.37,99.08,102.56,100.82,102.5,9742344
2023-05-01,2023,May,1,102.41,101.61,102.61,102.11,102.21,5697773
2023-05-02,2023,May,2,101.33,99.62,101.7,100.66,100.6,5787661
